Time,Transaction ID,Description,Product,Payment method,Status,Amount
"8 Feb 2026, 21:32",GPA.9207-2074-2046-58501,Cloud Storage Monthly,Google One,UPI: QR code,Complete,INR 299.00
"8 Feb 2026, 16:42",GPY.1797-4983-4103-01296,Productivity Suite,Google Play Apps,ICICI Bank,Complete,INR 149.00
"8 Feb 2026, 14:28",SOP.1166-6535-7627-87916,Movie Rental HD,Google Play Movies,Axis Bank UPI,Complete,INR 99.00
"8 Feb 2026, 01:42",YPC.6216-4631-7405-07614,Cloud Storage Monthly,Google One,Visa **** 3534,Complete,INR 399.00
"7 Feb 2026, 14:49",YPC.3881-5796-0684-16472..0,Google One 200 GB,Google One,Visa **** 3534,Complete,INR 210.00
"7 Feb 2026, 09:12",YPC.0582-2382-5730-92276,Movie Rental HD,Google Play Movies,Axis Bank UPI,Complete,INR 59.00
"7 Feb 2026, 03:35",YPC.5074-0564-6426-86519,YouTube Premium Individual,YouTube,UPI: QR code,Complete,INR 499.00
"6 Feb 2026, 20:49",GPY.2903-5694-6904-54139,Samay Raina membership,YouTube,ICICI Bank,Complete,INR 399.00
"6 Feb 2026, 20:22",GPA.7167-4888-6080-60117,Samay Raina membership,YouTube,Visa **** 3534,Complete,INR 129.00
"6 Feb 2026, 13:53",GPY.5693-4853-8041-06966,Cloud Storage Monthly,Google One,Visa **** 5315,Refunded,INR 99.00
"6 Feb 2026, 13:09",GPY.2701-7681-3690-34734,Movie Rental HD,Google Play Movies,HDFC Bank UPI,Complete,INR 399.00
"6 Feb 2026, 03:40",GPY.4491-8681-5783-80924,Cloud Storage Monthly,Google One,Axis Bank UPI,Refunded,INR 79.00
"6 Feb 2026, 01:07",GPY.6255-7296-7944-39888,Music Premium,YouTube,HDFC Bank UPI,Complete,INR 79.00
"6 Feb 2026, 00:26",GPA.4230-2288-3948-97677,Music Premium,YouTube,UPI: QR code,Complete,INR 199.00
"5 Feb 2026, 20:01",YPC.5649-7824-0136-73392,Productivity Suite,Google Play Apps,ICICI Bank,Complete,INR 199.00
"5 Feb 2026, 09:22",SOP.6384-8872-2801-25548,Cloud Storage Monthly,Google One,Visa **** 5315,Complete,INR 249.00
"5 Feb 2026, 04:09",YPC.6504-1329-2180-41276,YouTube Premium Individual,YouTube,SBI UPI,Complete,INR 199.00
"5 Feb 2026, 01:46",SOP.6100-0687-9322-01914,Movie Rental HD,Google Play Movies,ICICI Bank,Complete,INR 129.00
"4 Feb 2026, 19:12",YPC.7309-5405-3532-42858,Productivity Suite,Google Play Apps,Visa **** 5315,Complete,INR 59.00
"4 Feb 2026, 11:43",GPY.3929-6369-5271-21980,YouTube Premium Individual,YouTube,UPI: QR code,Complete,INR 249.00
"4 Feb 2026, 06:04",GPY.6286-0936-7733-39786,Movie Rental HD,Google Play Movies,UPI: QR code,Complete,INR 99.00
"4 Feb 2026, 02:56",YPC.4564-1671-4657-48014,Samay Raina membership,YouTube,UPI: QR code,Complete,INR 149.00
"4 Feb 2026, 01:19",GPA.6183-4489-3389-58937,Music Premium,YouTube,ICICI Bank,Complete,INR 149.00
"4 Feb 2026, 00:24",YPC.2008-1439-9482-50786,Movie Rental HD,Google Play Movies,Axis Bank UPI,Complete,INR 129.00
"3 Feb 2026, 08:49",GPY.2406-9289-4620-53469,Play Pass Monthly,Google Play Apps,Axis Bank UPI,Complete,INR 499.00
"3 Feb 2026, 08:13",GPA.7565-9622-8037-73566,Google One 200 GB,Google One,SBI UPI,Complete,INR 499.00
"3 Feb 2026, 06:40",SOP.2280-5809-0336-15244,Movie Rental HD,Google Play Movies,UPI: QR code,Complete,INR 210.00
"2 Feb 2026, 13:16",GPY.7499-9532-4915-31177,Movie Rental HD,Google Play Movies,ICICI Bank,Complete,INR 59.00
"2 Feb 2026, 07:18",YPC.5115-6492-2316-61082,Movie Rental HD,Google Play Movies,UPI: QR code,Cancelled,INR 249.00
"2 Feb 2026, 04:27",GPA.3532-4113-8545-06604,Google One 200 GB,Google One,Visa **** 5315,Complete,INR 499.00
"2 Feb 2026, 04:02",YPC.2454-6221-7136-67946,Movie Rental HD,Google Play Movies,SBI UPI,Complete,INR 210.00
"2 Feb 2026, 03:21",GPY.7278-1593-9958-30462,Movie Rental HD,Google Play Movies,UPI: QR code,Complete,INR 499.00
"2 Feb 2026, 00:29",GPA.0197-6805-2798-06997,Samay Raina membership,YouTube,SBI UPI,Cancelled,INR 149.00
"2 Feb 2026, 00:12",SOP.9280-9659-8523-57304,Movie Rental HD,Google Play Movies,Visa **** 5315,Complete,INR 210.00
"1 Feb 2026, 23:23",GPA.1250-3525-1604-23071,Movie Rental HD,Google Play Movies,UPI: QR code,Complete,INR 59.00
"1 Feb 2026, 21:04",YPC.8269-1078-4834-54560,Movie Rental HD,Google Play Movies,HDFC Bank UPI,Complete,INR 499.00
"1 Feb 2026, 15:49",GPY.7927-1450-7868-37208,Google One 200 GB,Google One,HDFC Bank UPI,Complete,INR 399.00
"1 Feb 2026, 13:33",SOP.3845-5323-7819-18093,Google One 200 GB,Google One,Visa **** 3534,Complete,INR 249.00
"1 Feb 2026, 13:04",YPC.0700-2441-4315-19607,AI Pro Subscription,Google Play Apps,SBI UPI,Cancelled,INR 499.00
"1 Feb 2026, 08:41",GPA.2966-7344-6715-87533,Productivity Suite,Google Play Apps,SBI UPI,Complete,INR 149.00
"1 Feb 2026, 02:58",YPC.3181-4428-7589-50828,AI Pro Subscription,Google Play Apps,Visa **** 5315,Complete,INR 499.00
"31 Jan 2026, 21:08",YPC.8756-9813-7416-23494,AI Pro Subscription,Google Play Apps,Axis Bank UPI,Refunded,INR 79.00
"31 Jan 2026, 18:29",GPA.0171-7298-9449-37348,Music Premium,YouTube,UPI: QR code,Complete,INR 399.00
"31 Jan 2026, 13:16",GPA.0273-9936-5564-25247..0,Productivity Suite,Google Play Apps,HDFC Bank UPI,Complete,INR 399.00
"31 Jan 2026, 12:01",SOP.1598-4012-1798-85181,Movie Rental HD,Google Play Movies,Visa **** 5315,Refunded,INR 99.00
"31 Jan 2026, 10:43",GPY.5681-7302-9577-03832,YouTube Premium Individual,YouTube,Visa **** 5315,Complete,INR 249.00
"31 Jan 2026, 08:06",GPY.7720-4414-2202-98628,Play Pass Monthly,Google Play Apps,Axis Bank UPI,Complete,INR 499.00
"31 Jan 2026, 05:03",GPA.9388-2276-9039-96137,Google One 200 GB,Google One,SBI UPI,Complete,INR 299.00
"31 Jan 2026, 00:22",YPC.0605-6892-9258-49338,Movie Rental HD,Google Play Movies,Visa **** 3534,Complete,INR 249.00
"30 Jan 2026, 22:09",GPY.5944-0653-7019-19224,YouTube Premium Individual,YouTube,HDFC Bank UPI,Complete,INR 249.00
"30 Jan 2026, 20:50",YPC.5374-3189-8553-74985,Play Pass Monthly,Google Play Apps,Visa **** 3534,Refunded,INR 499.00
"30 Jan 2026, 12:46",SOP.2706-5450-3158-24996,Movie Rental HD,Google Play Movies,ICICI Bank,Complete,INR 129.00
"30 Jan 2026, 08:00",SOP.1927-8087-2142-82756,Cloud Storage Monthly,Google One,UPI: QR code,Complete,INR 499.00
"29 Jan 2026, 18:58",SOP.7235-7640-5429-38432,Music Premium,YouTube,UPI: QR code,Complete,INR 199.00
"29 Jan 2026, 13:47",YPC.8149-0807-5382-42859,Google One 200 GB,Google One,Visa **** 3534,Complete,INR 129.00
"29 Jan 2026, 09:00",YPC.5370-6475-4356-31728,AI Pro Subscription,Google Play Apps,Visa **** 5315,Cancelled,INR 399.00
"29 Jan 2026, 03:07",GPY.3196-8455-8298-43936,Music Premium,YouTube,Visa **** 5315,Complete,INR 129.00
"29 Jan 2026, 00:41",GPA.4700-4464-1689-60527,Productivity Suite,Google Play Apps,UPI: QR code,Refunded,INR 499.00
"28 Jan 2026, 19:07",GPA.9611-7389-4770-23521,YouTube Premium Individual,YouTube,Axis Bank UPI,Complete,INR 399.00
"28 Jan 2026, 02:58",YPC.7875-8857-4607-55538,AI Pro Subscription,Google Play Apps,SBI UPI,Complete,INR 59.00
"27 Jan 2026, 20:50",GPY.9563-7522-6834-84035..1,YouTube Premium Individual,YouTube,Visa **** 3534,Complete,INR 99.00
"27 Jan 2026, 16:07",SOP.1800-5796-2592-28245,AI Pro Subscription,Google Play Apps,ICICI Bank,Complete,INR 149.00
"27 Jan 2026, 14:11",GPY.9689-8790-6488-13751,Samay Raina membership,YouTube,HDFC Bank UPI,Complete,INR 249.00
"27 Jan 2026, 07:46",SOP.6143-3579-2791-45683,Movie Rental HD,Google Play Movies,Visa **** 3534,Complete,INR 249.00
"27 Jan 2026, 00:14",GPA.3135-0314-0506-19382,Music Premium,YouTube,Axis Bank UPI,Complete,INR 249.00
"26 Jan 2026, 23:30",SOP.7818-7518-0980-20617,Play Pass Monthly,Google Play Apps,Visa **** 5315,Complete,INR 199.00
"26 Jan 2026, 21:54",YPC.9497-4898-4748-06350,Productivity Suite,Google Play Apps,SBI UPI,Complete,INR 210.00
